Species,EPBC,Elevation_min,Range size
Austrochaperina_adelphe,UNLISTED,0,45000
Austrochaperina_fryi,UNLISTED,0,2200
Austrochaperina_gracilipes,UNLISTED,0,25000
Austrochaperina_pluvialis,UNLISTED,50,5000
Austrochaperina_robusta,UNLISTED,300,3400
Cophixalus_aenigma,ENDANGERED,700,370
Cophixalus_australis,UNLISTED,0,3350
Cophixalus_bombiens,UNLISTED,0,1000
Cophixalus_concinnus,CRITICALLY ENDANGERED,1100,7.5
Cophixalus_crepitans,UNLISTED,400,250
Cophixalus_exiguus,UNLISTED,200,50
Cophixalus_hinchinbrookensis,UNLISTED,100,95
Cophixalus_hosmeri,CRITICALLY ENDANGERED,800,250
Cophixalus_infacetus,UNLISTED,50,1400
Cophixalus_kulakula,UNLISTED,100,3
Cophixalus_mcdonaldi,CRITICALLY ENDANGERED,700,25
Cophixalus_monticola,CRITICALLY ENDANGERED,1100,10
Cophixalus_neglectus,CRITICALLY ENDANGERED,1200,18
Cophixalus_ornatus,UNLISTED,300,1900
Cophixalus_pakayakulangun,UNLISTED,50,1
Cophixalus_peninsularis,UNLISTED,500,1
Cophixalus_petrophilus,UNLISTED,100,80
Cophixalus_saxatilis,UNLISTED,100,7.5
Cophixalus_zweifeli,UNLISTED,50,80