Name_in_Tree,SVL,HLL,HW,THIRD
Cophixalus_aenigma_1,2.929699956,2.016976347,1.965328713,-0.208376785
Cophixalus_australis_1,3.056751383,2.142107493,1.97444192,0.234453964
Cophixalus_balbus,3.279999322,2.534262092,2.344597775,0.498714796
Cophixalus_bewaniensis,2.815408719,2.174751721,2.041220329,-0.356674944
Cophixalus_biroi,3.258096538,2.35612586,2.312535424,0.405465108
Cophixalus_bombiens_1,2.626682444,1.824370997,1.547731983,-0.659295153
Cophixalus_cheesmanae,3.091042453,2.357073278,1.928618652,0.09531018
Cophixalus_concinnus,3.163779194,2.168256427,2.264856589,0.287554126
Cophixalus_crepitans,2.548592608,1.871725304,1.465507052,-0.516130071
Cophixalus_exiguus,2.724792094,1.893920112,1.678802747,-0.587913859
Cophixalus_hinchinbrookensis,2.937778607,2.068135564,1.979695985,0.029711708
Cophixalus_hosmeri_3,2.636063037,1.664416919,1.616026512,-0.695477504
Cophixalus_infacetus,2.71276393,1.971127531,1.637571059,-0.388185069
Cophixalus_kaindiensis,3.306886702,2.459588842,2.302585093,0.587786665
Cophixalus_kulakula_1,3.729065922,2.998820037,2.734953564,0.979481118
Cophixalus_mcdonaldi,3.151498541,2.217384386,2.113116355,-0.18611481
Cophixalus_misimae,2.83340539,2.223791997,1.718842514,-0.730337772
Cophixalus_monticola,2.953797504,1.861588328,1.952034898,-0.157283828
Cophixalus_neglectus_2,3.176543874,2.10240417,2.16965351,-0.150561654
Cophixalus_nubicola_2,3.374168709,2.312535424,2.451005098,0.587786665
Cophixalus_ornatus_1,3.142550005,2.235320812,2.034732684,0.389823346
Cophixalus_pakayakulangun,3.842440323,3.101037181,2.831042615,1.153524156
Cophixalus_petrophilus_1,3.371281667,2.666654301,2.378866417,0.447058091
Cophixalus_riparius,3.808882247,2.901421594,2.734367509,1.30833282
Cophixalus_saxatilis,3.644673379,2.891578452,2.664531536,0.78857557
Cophixalus_shellyi,2.803360381,1.974081026,1.757857918,-0.356674944
Cophixalus_sphagnicola,2.791165108,1.824549292,1.871802177,-0.371063681
Cophixalus_zweifeli_1,3.750707199,2.997085663,2.669921656,0.8340186